ticket,type,comment,entry_time,exit_time,entry_price,exit_price,pnl,reason
35,BUY,STACK,2026-01-22 17:49:00,2026-01-22 19:14:00,4903.6939999999995,4923.798000000001,20.10400000000118,STACK_TP
36,BUY,STACK,2026-01-22 19:14:00,2026-01-22 23:00:00,4924.098,4944.899,20.801000000000386,STACK_TP
37,BUY,STACK,2026-01-22 23:00:00,2026-01-22 23:16:00,4945.199,4941.2570000000005,-3.941999999999098,STACK_TRAIL_KILL
38,BUY,STACK,2026-01-22 23:18:00,2026-01-23 01:02:00,4946.058,4939.103,-6.954999999999927,STACK_TRAIL_KILL
39,BUY,STACK,2026-01-23 01:04:00,2026-01-23 03:18:00,4946.482999999999,4944.125,-2.357999999999265,STACK_TRAIL_KILL
40,BUY,STACK,2026-01-23 03:20:00,2026-01-23 05:46:00,4942.357,4963.088000000001,20.731000000000677,STACK_TP
41,BUY,STACK,2026-01-23 05:46:00,2026-01-23 08:20:00,4963.388,4930.625,-32.76299999999992,STACK_SL
42,BUY,STACK,2026-01-23 08:22:00,2026-01-23 09:28:00,4928.214,4902.534000000001,-25.67999999999938,STACK_SL
43,BUY,STACK,2026-01-23 09:30:00,2026-01-23 10:25:00,4907.308999999999,4929.1990000000005,21.890000000001237,STACK_TP
44,BUY,STACK,2026-01-23 10:25:00,2026-01-23 13:22:00,4929.499,4929.462,-0.03699999999935244,STACK_TRAIL_KILL
45,BUY,STACK,2026-01-23 13:24:00,2026-01-23 14:41:00,4928.263999999999,4948.120000000001,19.856000000001586,STACK_TP
46,BUY,STACK,2026-01-23 14:41:00,2026-01-23 16:09:00,4948.42,4973.821,25.40099999999984,STACK_TP
47,BUY,STACK,2026-01-23 16:09:00,2026-01-23 17:54:00,4974.120999999999,4970.755,-3.365999999999076,STACK_TRAIL_KILL
48,BUY,STACK,2026-01-23 17:56:00,2026-01-23 18:42:00,4963.383,4967.3,3.917000000000371,STACK_TRAIL_KILL
