time,open,high,low,close,tick_volume,spread,real_volume,is_near_supply,is_near_demand,distance_to_nearest_supply,distance_to_nearest_demand
2025-12-10 16:30:00,1.16466,1.1648,1.16451,1.16453,454,8,0,1,1,0.00034348621332207495,9.445870866343713e-05
2025-12-10 16:45:00,1.16453,1.16495,1.16435,1.16495,458,8,0,1,1,0.0007038928709385132,0.00026610584145245073
2025-12-10 17:00:00,1.16494,1.16509,1.16453,1.16507,448,8,0,1,1,0.0008068184744263786,0.00016308032993718184
2025-12-10 17:15:00,1.1650800000000001,1.16545,1.16507,1.16537,468,8,0,1,1,0.000566343736324176,9.439062272072775e-05
2025-12-10 17:30:00,1.16537,1.16555,1.16528,1.16552,393,8,0,1,1,0.00043757292882166975,0.00022307639508539276
2025-12-10 17:45:00,1.16552,1.16599,1.16535,1.16583,471,8,0,1,1,0.00017155159843218996,3.4310319686437995e-05
2025-12-10 18:00:00,1.16581,1.16596,1.16561,1.16568,330,8,0,1,1,0.0003002539290371907,0.00016299499004865183
2025-12-10 18:15:00,1.16568,1.16596,1.16545,1.16595,324,8,0,1,1,6.861357691159998e-05,6.861357691159998e-05
2025-12-10 18:30:00,1.16593,1.16606,1.16536,1.16564,429,8,0,1,1,0.00033458014481324637,0.0001973164956589963
2025-12-10 18:45:00,1.16563,1.16595,1.16535,1.16554,458,8,0,1,1,0.0004204059920724312,0.00024023199546996068
2025-12-10 19:00:00,1.16552,1.16758,1.16472,1.16689,2691,8,0,1,1,0.00038564046311139995,4.2848940345795676e-05
2025-12-10 19:15:00,1.1669,1.16747,1.16616,1.16641,1420,8,0,1,1,0.0002486261263191343,0.0004543856791352453
2025-12-10 19:30:00,1.16643,1.16809,1.16464,1.16515,7470,8,0,1,1,0.0007552675621166493,9.4408445264605e-05
2025-12-10 19:45:00,1.16512,1.16805,1.1649,1.16778,3775,8,0,1,1,2.5689770333431376e-05,0.0003510935278905457
2025-12-10 20:00:00,1.16776,1.16992,1.16733,1.16985,2355,8,0,1,1,2.5644313373487618e-05,0.00020515450698809076
2025-12-10 20:15:00,1.16983,1.16993,1.16876,1.16938,1727,8,0,1,1,5.1309240794223414e-05,0.0005815047290017051
2025-12-10 20:30:00,1.16937,1.16967,1.16881,1.16922,1033,8,0,1,1,0.00013684336566252542,0.0004447409384032551
2025-12-10 20:45:00,1.1692,1.16964,1.16912,1.16936,721,8,0,1,1,6.841349114052132e-05,0.0005644113019086362
2025-12-10 21:00:00,1.1693500000000001,1.16944,1.16893,1.16915,428,8,0,1,1,7.697900183887737e-05,0.0003848950091945768
2025-12-10 21:15:00,1.16916,1.16944,1.16895,1.16928,339,8,0,1,1,0.0001368363437328424,0.0004960317460317674
2025-12-10 21:30:00,1.16928,1.16931,1.16896,1.16905,273,8,0,1,1,8.553954065322709e-06,0.0002993883922842055
2025-12-10 21:45:00,1.16905,1.1695,1.16892,1.16948,366,8,0,1,1,3.420323562612443e-05,0.0005215993432978755
2025-12-10 22:00:00,1.16948,1.16948,1.16875,1.16894,176,20,0,1,1,0.00010265710814917614,0.00020531421629854223
2025-12-10 22:15:00,1.16891,1.16907,1.1688,1.16901,212,58,0,1,1,4.27712337789099e-05,0.0002651816494298872
2025-12-10 22:30:00,1.169,1.16904,1.16892,1.16897,240,63,0,1,1,7.699085519724499e-05,0.0002309725655919249
2025-12-10 22:45:00,1.16896,1.1693500000000001,1.16893,1.16923,220,8,0,1,1,0.0001453948324966033,0.0004532897719010968
2025-12-10 23:00:00,1.16944,1.16983,1.16942,1.16974,201,8,0,1,1,6.839126643534462e-05,0.0002992117906543954
2025-12-10 23:15:00,1.16973,1.16998,1.1697,1.16984,139,8,0,1,1,1.709635505702402e-05,0.0002137044382138442
2025-12-10 23:30:00,1.16984,1.1702,1.16982,1.17012,187,8,0,1,1,5.127679212384113e-05,2.5638396061920566e-05
2025-12-10 23:45:00,1.17011,1.17023,1.16995,1.17011,207,8,0,1,1,5.982343540352146e-05,1.7092410115210518e-05
2025-12-11 00:00:00,1.17011,1.17044,1.16988,1.1703000000000001,357,8,0,1,1,0.00010253781081784158,0.00010253781081784158
2025-12-11 00:15:00,1.17028,1.17034,1.1698,1.16983,281,8,0,1,1,8.548250600380798e-06,0.0002222545156135071
2025-12-11 00:30:00,1.16983,1.16995,1.16968,1.16981,343,8,0,1,1,8.54839674824588e-06,0.00023935510894936612
2025-12-11 00:45:00,1.16983,1.17017,1.16976,1.17016,519,8,0,1,1,1.7091679770210037e-05,1.7091679770210037e-05
2025-12-11 01:00:00,1.17016,1.17071,1.1700599999999999,1.17047,497,8,0,1,1,0.00024776371884789995,0.0002221329893121131
2025-12-11 01:15:00,1.17049,1.17058,1.17023,1.17036,423,8,0,1,1,0.00015379883112894236,0.00015379883112894236
2025-12-11 01:30:00,1.17036,1.17044,1.17008,1.17036,417,8,0,1,1,0.00015379883112894236,0.00015379883112894236
2025-12-11 01:45:00,1.17036,1.17042,1.17,1.17014,336,8,0,1,1,3.418394380163058e-05,3.418394380163058e-05
2025-12-11 02:00:00,1.17015,1.17057,1.16999,1.17002,374,8,0,1,1,6.837489957443463e-05,5.982803712758285e-05
2025-12-11 02:15:00,1.17002,1.17025,1.16988,1.17019,307,8,0,1,1,8.545620796678754e-06,8.545620796678754e-06
2025-12-11 02:30:00,1.17018,1.1702,1.16981,1.16993,424,8,0,1,1,8.547519937146251e-06,0.00013676031899358083
2025-12-11 02:45:00,1.16992,1.16999,1.16929,1.16936,372,8,0,1,1,6.841349114052132e-05,0.0005644113019086362
2025-12-11 03:00:00,1.16936,1.16973,1.16928,1.1693500000000001,450,8,0,1,1,7.696583572063409e-05,0.0005558643690939748
2025-12-11 03:15:00,1.16934,1.16949,1.16904,1.16914,403,8,0,1,1,6.842636467837898e-05,0.0003763450057307046
2025-12-11 03:30:00,1.16913,1.16938,1.16899,1.16932,306,8,0,1,1,0.0001026237471351897,0.0005302226935311489
2025-12-11 03:45:00,1.16932,1.16942,1.16902,1.16904,216,8,0,1,1,1.710805447196758e-05,0.0002908369260247784
2025-12-11 04:00:00,1.16905,1.16914,1.1689,1.16893,238,8,0,1,1,0.00011121281856053269,0.00019676114053018782
2025-12-11 04:15:00,1.16892,1.169,1.16852,1.16862,244,8,0,1,1,0.0003765124676969382,8.557101538622916e-06
2025-12-11 04:30:00,1.16862,1.16886,1.16859,1.16862,210,8,0,1,1,0.0003765124676969382,8.557101538622916e-06
2025-12-11 04:45:00,1.16861,1.16904,1.1686,1.16898,283,8,0,1,1,6.843573029485536e-05,0.00023952505603161385
2025-12-11 05:00:00,1.16898,1.16917,1.1688,1.1688399999999999,266,8,0,1,1,0.00018822080010960355,0.00011977687279679594
2025-12-11 05:15:00,1.1688399999999999,1.16899,1.16867,1.16886,260,8,0,1,1,0.00017110689047446055,0.00013688551237953046
2025-12-11 05:30:00,1.16886,1.16896,1.16872,1.1688,210,8,0,1,1,0.00022245037645442074,8.555783709786873e-05
2025-12-11 05:45:00,1.1688,1.16887,1.16845,1.16853,330,8,0,1,1,0.000453561312075787,8.557760605203887e-05
2025-12-11 06:00:00,1.16855,1.16861,1.16833,1.1684,332,8,0,1,1,0.0005563163300239981,2.5676138308966564e-05
2025-12-11 06:15:00,1.16841,1.16853,1.16819,1.16835,330,8,0,1,1,0.0005135447425856412,1.7118158086112022e-05
2025-12-11 06:30:00,1.16836,1.16871,1.16831,1.16867,333,8,0,1,1,0.0003337126819374934,2.567020630286949e-05
2025-12-11 06:45:00,1.16867,1.16894,1.16856,1.16885,278,8,0,1,1,0.00017966377208370919,0.0001283312657739423
2025-12-11 07:00:00,1.16888,1.1693500000000001,1.16871,1.16915,503,8,0,1,1,7.697900183887737e-05,0.0003848950091945768
2025-12-11 07:15:00,1.16914,1.16952,1.169,1.1695,452,8,0,1,1,5.1303976058100886e-05,0.000504489097905165
2025-12-11 07:30:00,1.16952,1.17001,1.16923,1.17,496,8,0,1,1,5.128205128200768e-05,7.69230769232013e-05
2025-12-11 07:45:00,1.16998,1.1700599999999999,1.16927,1.16933,592,8,0,1,1,9.407096371431034e-05,0.0005387700649088867
2025-12-11 08:00:00,1.16933,1.17024,1.16933,1.16998,700,8,0,1,1,3.41886186088993e-05,9.401870117442563e-05
2025-12-11 08:15:00,1.16998,1.17017,1.16962,1.17016,573,8,0,1,1,1.7091679770210037e-05,1.7091679770210037e-05
2025-12-11 08:30:00,1.17016,1.17054,1.17011,1.17025,565,8,0,1,1,5.9816278572966884e-05,5.9816278572966884e-05
2025-12-11 08:45:00,1.17026,1.17063,1.16967,1.1696900000000001,566,8,0,1,1,0.00011114055860951488,0.0003419709495677965
2025-12-11 09:00:00,1.16971,1.1697899999999999,1.16886,1.16899,736,8,0,1,1,5.9880751760078785e-05,0.00024807740014876214
2025-12-11 09:15:00,1.16899,1.16939,1.1687,1.16924,583,8,0,1,1,0.00015394615305674538,0.0004618384591700463
2025-12-11 09:30:00,1.16924,1.16985,1.16923,1.16966,587,8,0,1,1,0.00013679188824116412,0.00036762819964789126
2025-12-11 09:45:00,1.16966,1.17031,1.16966,1.17017,460,8,0,1,1,8.545766854444664e-06,8.545766854444664e-06
2025-12-11 10:00:00,1.17018,1.17038,1.16984,1.17037,584,8,0,1,1,0.00016234182352581873,0.00016234182352581873
2025-12-11 10:15:00,1.17037,1.17062,1.17023,1.17026,508,8,0,1,1,6.836087707012118e-05,6.836087707012118e-05
2025-12-11 10:30:00,1.17026,1.17049,1.17005,1.17009,427,8,0,1,1,7.691716021837933e-05,0.0
2025-12-11 10:45:00,1.17008,1.17074,1.17003,1.1706699999999999,454,8,0,1,1,0.00041856372846308477,5.125270144461807e-05
2025-12-11 11:00:00,1.17066,1.17147,1.17056,1.17131,528,8,0,1,1,0.00035003543041553595,4.2687247611738574e-05
2025-12-11 11:15:00,1.17131,1.1717,1.17107,1.1716199999999999,437,8,0,1,1,8.535190590823905e-05,4.267595295393001e-05
2025-12-11 11:30:00,1.17161,1.17174,1.17109,1.17141,470,8,0,1,1,0.00026463834182739813,7.683048633691319e-05
2025-12-11 11:45:00,1.17142,1.17155,1.17124,1.1712500000000001,396,8,0,1,1,0.0004012806830309246,8.537886872865285e-06
2025-12-11 12:00:00,1.17124,1.17161,1.17095,1.17156,501,8,0,1,1,0.00013657004336112535,8.535627709928189e-06
2025-12-11 12:15:00,1.17155,1.1719,1.17147,1.17168,452,8,0,1,1,3.413901406530793e-05,1.7069507032559214e-05
2025-12-11 12:30:00,1.17168,1.17171,1.17133,1.17159,431,8,0,1,1,0.00011096031888304402,1.7070818289597026e-05
2025-12-11 12:45:00,1.1716,1.17178,1.171,1.17164,604,8,0,1,1,6.828035915475744e-05,5.121026936597332e-05
2025-12-11 13:00:00,1.17166,1.17188,1.1713,1.17148,748,8,0,1,1,0.0002048690545293287,1.7072421210698416e-05
2025-12-11 13:15:00,1.1715,1.17215,1.17136,1.17199,608,8,0,1,1,0.00023037739229856265,8.532496010924552e-06
