Time,Type,Entry,Exit,PnL
2025-10-19 01:45:00,BUY_SL,107133.284,106997.94285714286,-136.54114285714166
2025-10-19 19:40:00,BUY_TP,107589.583,108794.81457142856,1204.031571428565
2025-10-20 02:05:00,SELL_TP,109199.408,108812.40028571428,385.807714285719
2025-10-21 08:05:00,SELL_TP,108131.661,107467.7957142857,662.6652857142878
2025-10-21 13:45:00,SELL_SL,107903.191,108245.01732142858,-343.0263214285689
2025-10-21 16:05:00,BUY_SL,108752.357,108350.28832142858,-403.2686785714206
2025-10-21 16:45:00,BUY_SL,108714.761,108199.6814642857,-516.2795357142925
2025-10-22 01:25:00,SELL_TP,110675.651,109748.63728571429,925.8137142857129
2025-10-22 05:10:00,SELL_SL,108282.551,108580.1717857143,-298.8207857142872
2025-10-22 08:05:00,BUY_SL,108509.97,108317.21689285715,-193.95310714285296
2025-10-22 20:50:00,BUY_SL,108210.706,107509.79617857143,-702.1098214285769
2025-10-24 11:30:00,BUY_SL,110988.794,110645.00610714285,-344.98789285714446
2025-10-24 22:00:00,SELL_SL,110435.79,110649.47635714285,-214.88635714285482
2025-10-25 15:45:00,BUY_TP,111519.909,111802.53664285714,281.42764285714367
2025-10-26 01:40:00,BUY_TP,111331.596,111518.03892857143,185.24292857142865
2025-10-26 08:05:00,BUY_SL,111548.116,111475.91917857142,-73.39682142857346
2025-10-28 18:30:00,BUY_TP,114588.85,115279.68035714286,689.630357142855
2025-10-28 20:35:00,BUY_SL,115003.651,114659.33821428572,-345.51278571428264
2025-10-28 21:15:00,SELL_TP,114795.004,114313.39064285714,480.41335714286544
2025-10-29 07:00:00,SELL_SL,112612.634,112857.72714285714,-246.2931428571348
2025-10-30 01:10:00,SELL_TP,111023.682,110533.95407142857,488.52792857143214
2025-10-30 08:40:00,SELL_SL,110168.053,110683.86871428572,-517.0157142857236
2025-10-31 01:35:00,BUY_TP,107662.09,108143.39778571429,480.10778571429256
2025-10-31 06:20:00,BUY_TP,108838.547,109503.91228571428,664.1652857142733
2025-10-31 10:25:00,BUY_TP,109329.615,109753.20535714287,422.3903571428644
2025-10-31 18:15:00,BUY_SL,110405.902,109857.98532142857,-549.1166785714333
2025-11-01 03:30:00,BUY_TP,109443.078,109904.38585714286,460.1078571428632
2025-11-01 12:10:00,BUY_SL,109949.115,109816.25067857144,-134.06432142856937
2025-11-01 15:40:00,BUY_SL,109943.644,109825.5127857143,-119.33121428570594
2025-11-02 08:45:00,BUY_TP,110274.311,110593.57335714286,318.0623571428558
2025-11-02 12:30:00,BUY_SL,110650.092,110472.24642857144,-179.04557142856646
2025-11-03 02:25:00,BUY_SL,110562.075,110285.09464285715,-278.18035714284923
2025-11-04 03:20:00,SELL_SL,106523.333,106915.66057142857,-393.52757142857007
2025-11-04 05:30:00,BUY_TP,106376.826,107003.34535714285,625.3193571428535
2025-11-05 03:00:00,BUY_SL,100664.382,100241.32521428571,-424.2567857142887
2025-11-05 19:45:00,BUY_SL,103838.979,103498.87939285715,-341.2996071428526
2025-11-06 00:00:00,BUY_SL,103762.03,103409.69189285714,-353.53810714285936
2025-11-06 17:20:00,SELL_SL,102057.962,102528.9665,-472.20449999999545
2025-11-06 19:30:00,SELL_SL,100897.65,101509.87275,-613.4227500000009
2025-11-06 20:40:00,SELL_SL,101292.237,101759.46717857143,-468.4301785714371
2025-11-06 23:40:00,SELL_SL,100520.284,100931.80985714286,-412.7258571428567
2025-11-07 05:05:00,BUY_TP,101164.002,102124.93435714285,959.732357142854
2025-11-07 07:05:00,BUY_TP,101743.463,102251.03342857143,506.370428571431
2025-11-07 09:50:00,SELL_SL,101729.918,101921.26282142858,-192.5448214285745
2025-11-07 13:50:00,SELL_SL,100093.589,100450.1267857143,-357.73778571428846
2025-11-07 19:20:00,BUY_TP,101095.853,102091.51849999999,994.4654999999882
2025-11-08 08:00:00,SELL_TP,102567.566,102145.72335714285,420.6426428571547
2025-11-08 16:15:00,SELL_TP,101921.232,101453.9502857143,466.0817142857093
2025-11-09 02:05:00,BUY_SL,102292.699,102179.52892857141,-114.37007142858347
2025-11-09 05:25:00,SELL_TP,101768.484,101401.3052142857,365.97878571429175
2025-11-09 06:15:00,SELL_SL,101569.694,101791.3205,-222.82649999999848
2025-11-09 15:20:00,BUY_TP,102008.235,102367.32235714285,357.88735714285286
2025-11-09 20:45:00,BUY_TP,103401.532,103915.6345,512.9024999999936
2025-11-11 00:45:00,SELL_SL,105525.422,105796.40610714286,-272.1841071428527
2025-11-11 02:55:00,SELL_SL,105697.277,105980.48085714286,-284.40385714285657
2025-11-11 04:35:00,BUY_TP,105786.961,106897.97071428571,1109.809714285712
2025-11-11 09:40:00,SELL_TP,105260.314,104744.752,514.3620000000053
2025-11-11 20:45:00,SELL_SL,103079.658,103386.19960714286,-307.7416071428626
2025-11-12 09:50:00,BUY_SL,103377.134,103206.03457142858,-172.29942857142595
2025-11-13 07:45:00,BUY_TP,101762.147,102719.9012857143,956.554285714298
2025-11-14 02:50:00,BUY_SL,99143.788,98693.068,-451.92000000000115
2025-11-14 06:30:00,BUY_SL,98911.633,98306.14814285714,-606.6848571428593
2025-11-15 10:50:00,SELL_TP,96080.508,95623.60114285715,455.70685714285065
2025-11-15 18:05:00,BUY_SL,96070.143,95796.86946428572,-274.473535714281
2025-11-16 04:45:00,BUY_TP,95155.601,95821.91171428571,665.1107142857188
2025-11-16 09:45:00,SELL_SL,95765.944,95900.18778571428,-135.4437857142795
2025-11-16 11:50:00,BUY_TP,95938.9,96290.07314285715,349.9731428571511
2025-11-16 17:50:00,SELL_TP,95482.52,95061.61485714286,419.7051428571402
2025-11-17 15:25:00,BUY_SL,95116.307,94604.75214285715,-512.7548571428517
2025-11-17 18:05:00,SELL_TP,94808.84,93420.00649999999,1387.6335000000079
2025-11-18 23:50:00,BUY_SL,93095.958,92408.25053571428,-688.9074642857188
2025-11-19 13:55:00,BUY_SL,91511.737,91306.37821428571,-206.55878571428474
2025-11-19 17:25:00,BUY_SL,91557.455,91151.97275,-406.6822500000009
2025-11-20 01:15:00,BUY_TP,90380.485,91337.8252857143,956.1402857142937
2025-11-20 02:30:00,BUY_TP,91403.995,92039.99757142857,634.802571428573
2025-11-20 17:55:00,SELL_TP,91247.95,89977.65592857142,1269.0940714285796
2025-11-21 01:35:00,BUY_SL,87409.866,86991.27107142856,-419.7949285714305
2025-11-22 08:20:00,SELL_SL,84130.875,84438.83292857143,-309.15792857142804
2025-11-22 13:05:00,SELL_SL,83583.446,83859.92942857143,-277.6834285714314
2025-11-22 17:40:00,BUY_SL,84355.634,84031.17842857144,-325.65557142856704
2025-11-23 06:20:00,BUY_TP,85965.701,86632.11735714285,665.2163571428507
2025-11-24 04:00:00,SELL_SL,86800.945,87176.86396428573,-377.1189642857236
2025-11-24 05:20:00,SELL_SL,87244.765,87677.49196428571,-433.9269642857136
2025-11-24 16:35:00,BUY_TP,86021.225,86555.53571428571,533.1107142857043
2025-11-25 14:10:00,SELL_SL,87329.63,87485.18407142858,-156.75407142857438
2025-11-25 15:35:00,BUY_SL,87445.281,87206.49900000001,-239.98199999999196
2025-11-26 03:40:00,BUY_TP,87487.363,88001.038,512.4750000000029
2025-11-26 11:20:00,BUY_SL,87249.852,87097.29610714286,-153.75589285714085
2025-11-26 14:15:00,SELL_TP,86661.269,86357.80592857144,302.2630714285595
2025-11-26 16:10:00,SELL_SL,86929.203,87128.05703571427,-200.0540357142774
2025-11-28 09:35:00,BUY_SL,91212.697,91067.20525,-146.69175000000104
2025-11-29 13:55:00,SELL_SL,90500.39,90612.71942857144,-113.52942857143644
2025-11-30 04:55:00,BUY_SL,90779.511,90673.53085714286,-107.18014285713726
2025-11-30 13:50:00,BUY_SL,91148.369,90927.06210714286,-222.5068928571447
2025-11-30 19:00:00,BUY_SL,91759.726,91619.38149999999,-141.5445000000065
2025-11-30 20:05:00,BUY_SL,91383.362,91214.13949999999,-170.42250000000348
2025-12-02 10:15:00,BUY_SL,86810.433,86586.76746428572,-224.86553571428811
2025-12-02 19:25:00,BUY_TP,90483.818,91852.5215,1367.5035000000032
2025-12-04 08:15:00,SELL_SL,92800.56,93013.69928571429,-214.33928571429277
2025-12-04 16:50:00,SELL_TP,92559.516,91989.08935714288,569.2266428571281
2025-12-05 02:10:00,BUY_SL,92186.463,91996.29825,-191.36474999999626
2025-12-05 15:25:00,SELL_TP,91283.632,90702.10535714286,580.326642857134
2025-12-05 17:00:00,SELL_SL,90009.601,90397.86196428571,-389.46096428571326
2025-12-05 18:05:00,SELL_TP,90571.33,89466.02907142857,1104.100928571436
2025-12-06 00:50:00,SELL_SL,89052.779,89274.6982142857,-223.1192142857064
2025-12-06 09:30:00,BUY_SL,89505.432,89405.10728571429,-101.52471428571444
