time,open,high,low,close,tick_volume,spread,real_volume,is_near_supply,is_near_demand,distance_to_nearest_supply,distance_to_nearest_demand,bayesian_probability,composite_zone_score,high_prob_zone
2025-12-12 12:45:00,1.17202,1.17251,1.17192,1.17248,451,8,0,0,0,0.00043497543668123164,0.0002558679039301028,0.99,0.0,0
2025-12-12 13:00:00,1.1724700000000001,1.17325,1.17234,1.17294,646,8,0,1,1,4.2627926407048496e-05,0.00013640936450300952,0.99,0.7471142295148,1
2025-12-12 13:15:00,1.17295,1.17323,1.17262,1.17311,530,8,0,1,0,7.67191482470915e-05,0.00028130354357235336,0.99,0.7465937230933395,1
2025-12-12 13:30:00,1.1730800000000001,1.17348,1.17302,1.17326,537,8,0,0,0,0.0002045582394354346,0.0004091164788708692,0.99,0.0,0
2025-12-12 13:45:00,1.17325,1.17331,1.17258,1.17272,594,8,0,0,1,0.00023023398594719326,5.116310798822309e-05,0.99,0.7463099569277062,1
2025-12-12 14:00:00,1.17271,1.17292,1.17228,1.17257,757,8,0,0,1,0.0003581875708913643,0.00017909378544568214,0.99,0.7463099569277062,1
2025-12-12 14:15:00,1.17259,1.1732,1.17259,1.1732,740,8,0,1,0,0.00015342652574162034,0.00035799522673038436,0.99,0.7465937230933395,1
2025-12-12 14:30:00,1.17319,1.17388,1.17311,1.17372,757,8,0,1,0,0.00011075895443562819,0.0008008724397643073,0.99,0.7474406991857608,1
2025-12-12 14:45:00,1.17374,1.17431,1.17362,1.17416,706,8,0,1,0,4.258363425758284e-05,0.0011753083055121608,0.99,0.7479942141944069,1
2025-12-12 15:00:00,1.17415,1.17446,1.17368,1.17376,744,8,0,1,0,0.00014483369683751662,0.0008349236641221212,0.99,0.7474406991857608,1
2025-12-12 15:15:00,1.17375,1.17377,1.17291,1.17355,845,8,0,1,0,3.408461505672358e-05,0.0006561288398450508,0.99,0.7474406991857608,1
2025-12-12 15:30:00,1.17356,1.17398,1.17336,1.17354,869,8,0,1,0,4.260613187440008e-05,0.0006476132044924706,0.99,0.7474406991857608,1
2025-12-12 15:45:00,1.17356,1.1739,1.17327,1.17378,828,8,0,1,0,0.00016187019714097574,0.0008519484060046276,0.99,0.7474406991857608,1
2025-12-12 16:00:00,1.17377,1.17429,1.17366,1.17375,806,8,0,1,0,0.00013631522896712247,0.0008264110756124706,0.99,0.7474406991857608,1
2025-12-12 16:15:00,1.17377,1.1741,1.17352,1.17361,625,8,0,1,0,1.704143625235898e-05,0.0007072196044683569,0.99,0.7474406991857608,1
2025-12-12 16:30:00,1.17361,1.17363,1.17259,1.1728,727,8,0,1,1,0.00016200545702584624,1.705320600284023e-05,0.99,0.7471142295148,1
2025-12-12 16:45:00,1.17279,1.17328,1.17272,1.17307,540,8,0,1,0,4.2623202366530144e-05,0.0002472145737254584,0.99,0.7465937230933395,1
2025-12-12 17:00:00,1.17307,1.17332,1.17295,1.17325,489,8,0,1,0,0.00019603665033023863,0.00040059663328358873,0.99,0.7465937230933395,1
2025-12-12 17:15:00,1.17324,1.17425,1.17315,1.17425,516,8,0,1,0,0.0,0.0012518628912072235,0.99,0.7473043160209429,1
2025-12-12 17:30:00,1.17425,1.17478,1.1740599999999999,1.17476,438,8,0,1,0,1.7024753992416342e-05,0.0016854506452382552,0.99,0.7464277181952659,1
2025-12-12 17:45:00,1.17475,1.17477,1.17442,1.17471,383,8,0,1,0,2.5538217943130213e-05,0.0016429586876760965,0.99,0.7464277181952659,1
2025-12-12 18:00:00,1.17472,1.17483,1.17441,1.17459,457,8,0,1,0,0.00012770413505978464,0.0015409632297227877,0.99,0.7464277181952659,1
2025-12-12 18:15:00,1.1746,1.17488,1.17454,1.17475,391,8,0,1,0,8.512449457387115e-06,0.0016769525430942987,0.99,0.7464277181952659,1
2025-12-12 18:30:00,1.17477,1.17494,1.1746,1.17461,318,8,0,1,0,0.00011067503256396888,0.0015579639199393828,0.99,0.7464277181952659,1
2025-12-12 18:45:00,1.17461,1.17466,1.17403,1.17411,336,8,0,1,0,8.517089540161398e-05,0.001132772908841636,0.99,0.7479942141944069,1
2025-12-12 19:00:00,1.17413,1.17413,1.17371,1.17391,375,8,0,0,0,0.00025555621810868545,0.0009625950882095522,0.99,0.0,0
2025-12-12 19:15:00,1.17388,1.17408,1.17372,1.17379,272,8,0,1,0,0.0001703882295810818,0.0008604605593845198,0.99,0.7474406991857608,1
2025-12-12 19:30:00,1.17379,1.17407,1.17375,1.17378,315,8,0,1,0,0.00016187019714097574,0.0008519484060046276,0.99,0.7474406991857608,1
2025-12-12 19:45:00,1.17377,1.17408,1.1735,1.174,387,8,0,1,0,0.00017887563884160434,0.0010391822827938663,0.99,0.7479942141944069,1
