entry_time,exit_time,direction,entry_price,exit_price,pnl,exit_reason,bars_in_trade,month
2025-12-31 11:30:00,2025-12-31 12:00:00,SELL,1.17455,1.17505,-0.49999999999994493,SL,2,2025-12
2025-12-31 11:45:00,2025-12-31 12:15:00,SELL,1.1746699999999999,1.1751699999999998,-0.49999999999994493,SL,2,2025-12
2025-12-31 14:45:00,2025-12-31 15:00:00,BUY,1.17301,1.1725100000000002,-0.49999999999994493,SL,1,2025-12
2025-12-31 20:15:00,2025-12-31 20:45:00,SELL,1.1746,1.1751,-0.49999999999994493,SL,2,2025-12
2025-12-31 20:30:00,2026-01-02 00:00:00,SELL,1.1747,1.1752,-0.49999999999994493,SL,14,2025-12
2026-01-01 23:30:00,2026-01-02 00:45:00,SELL,1.17494,1.17544,-0.49999999999994493,SL,5,2026-01
2026-01-05 09:00:00,2026-01-05 09:45:00,BUY,1.16792,1.1674200000000001,-0.49999999999994493,SL,3,2026-01
2026-01-05 09:30:00,2026-01-05 10:00:00,BUY,1.16753,1.1683299999999999,0.7999999999999119,TP,2,2026-01
2026-01-05 15:00:00,2026-01-05 15:30:00,SELL,1.1694,1.1699,-0.49999999999994493,SL,2,2026-01
2026-01-05 15:15:00,2026-01-05 15:45:00,SELL,1.16956,1.1700599999999999,-0.49999999999994493,SL,2,2026-01
2026-01-05 15:30:00,2026-01-05 15:45:00,SELL,1.16959,1.1700899999999999,-0.49999999999994493,SL,1,2026-01
2026-01-07 08:00:00,2026-01-07 08:45:00,BUY,1.16765,1.16845,0.7999999999999119,TP,3,2026-01
2026-01-07 08:15:00,2026-01-07 08:30:00,BUY,1.16749,1.1682899999999998,0.7999999999999119,TP,1,2026-01
2026-01-07 14:45:00,2026-01-07 15:00:00,SELL,1.16967,1.16887,0.7999999999999119,TP,1,2026-01
2026-01-07 19:15:00,2026-01-07 21:30:00,BUY,1.16795,1.16745,-0.49999999999994493,SL,9,2026-01
2026-01-07 20:45:00,2026-01-07 21:30:00,BUY,1.16785,1.16735,-0.49999999999994493,SL,3,2026-01
2026-01-07 21:00:00,2026-01-08 01:30:00,BUY,1.16776,1.16726,-0.49999999999994493,SL,18,2026-01
2026-01-07 21:15:00,2026-01-08 08:30:00,BUY,1.16755,1.1670500000000001,-0.49999999999994493,SL,45,2026-01
2026-01-07 21:30:00,2026-01-08 08:30:00,BUY,1.16761,1.16711,-0.49999999999994493,SL,44,2026-01
2026-01-07 22:15:00,2026-01-08 08:30:00,BUY,1.16749,1.16699,-0.49999999999994493,SL,41,2026-01
2026-01-07 22:30:00,2026-01-08 08:30:00,BUY,1.16751,1.16701,-0.49999999999994493,SL,40,2026-01
2026-01-07 23:30:00,2026-01-08 08:30:00,BUY,1.16757,1.16707,-0.49999999999994493,SL,36,2026-01
2026-01-08 00:45:00,2026-01-08 08:30:00,BUY,1.16755,1.1670500000000001,-0.49999999999994493,SL,31,2026-01
2026-01-09 14:30:00,2026-01-09 15:00:00,BUY,1.16337,1.16287,-0.49999999999994493,SL,2,2026-01
2026-01-12 13:00:00,2026-01-12 13:45:00,SELL,1.1691799999999999,1.1696799999999998,-0.49999999999994493,SL,3,2026-01
2026-01-12 13:30:00,2026-01-12 13:45:00,SELL,1.16919,1.16969,-0.49999999999994493,SL,1,2026-01
2026-01-12 13:45:00,2026-01-12 14:00:00,SELL,1.16924,1.1684400000000001,0.7999999999999119,TP,1,2026-01
2026-01-14 06:45:00,2026-01-14 08:15:00,SELL,1.16486,1.16406,0.7999999999999119,TP,6,2026-01
2026-01-14 07:00:00,2026-01-14 10:15:00,SELL,1.1648399999999999,1.1653399999999998,-0.49999999999994493,SL,13,2026-01
2026-01-14 07:15:00,2026-01-14 09:45:00,SELL,1.16482,1.16532,-0.49999999999994493,SL,10,2026-01
2026-01-14 07:30:00,2026-01-14 10:15:00,SELL,1.1648399999999999,1.1653399999999998,-0.49999999999994493,SL,11,2026-01
2026-01-14 09:00:00,2026-01-14 10:15:00,SELL,1.16491,1.1654099999999998,-0.49999999999994493,SL,5,2026-01
